,$X_1\beta \approx Y$,$X_2\beta \approx Y$,$X_1\beta \approx X_2$,$X_2\beta \approx X_1$,$X_1'\beta \approx Y$,$X_2'\beta \approx Y$
79,0.75873256,0.6274703,0.9882109761238098,0.9885104298591614,0.24349767,0.19987017
80,0.7559656,0.6097467,0.9857068657875061,0.9855613112449646,0.3225515,0.16465145
81,0.65549785,0.4544193,0.987540066242218,0.9858309626579285,0.37376088,0.16380262
82,0.750019,0.6206877,0.9835601449012756,0.9848384261131287,0.3115514,0.1658085
83,0.7737324,0.53710246,0.9891394972801208,0.9899749755859375,0.29176682,0.11325747
84,0.7319582,0.55235815,0.9833501577377319,0.9819858074188232,0.33955503,0.022845984
85,0.7833774,0.64735246,0.989176332950592,0.9886627793312073,0.26417547,0.098002076
86,0.7234919,0.564371,0.9881325364112854,0.9875229001045227,0.33898693,0.1355443
87,0.7266604,0.61383283,0.988086998462677,0.9870704412460327,0.2211706,0.038532794
88,0.6806437,0.55920446,0.9837222099304199,0.9864150285720825,0.10220617,0.18109494
89,0.64920926,0.556184,0.9866865277290344,0.9817331433296204,0.15082544,0.25674206
90,0.7078846,0.5479785,0.9843683242797852,0.9847343564033508,0.29725277,0.113930404
91,0.7297971,0.56673104,0.9895235300064087,0.9886815547943115,0.31506336,0.16494757
92,0.7566584,0.6400868,0.9870505332946777,0.9858012199401855,0.27526754,0.15149748
93,0.8055455,0.6658808,0.9863336682319641,0.9875079989433289,0.27097994,0.18702841
94,0.7017133,0.5331894,0.9887273907661438,0.9891688823699951,0.1958543,-0.0116227865
95,0.768443,0.47361356,0.9828361868858337,0.9850597977638245,0.32789284,-0.012567282
96,0.7301758,0.46689224,0.9866024255752563,0.9863614439964294,0.30255163,-0.09224284
97,0.7048422,0.6149291,0.987693727016449,0.9877442121505737,0.076230645,0.1981504
98,0.63023716,0.5263174,0.9865617156028748,0.9844067692756653,0.28582442,0.15110958
99,0.73769647,0.6791368,0.984058678150177,0.9867432117462158,0.28298408,0.16697896
100,0.72487783,0.57410145,0.9841017723083496,0.9825893044471741,0.34892702,0.12897778
101,0.8044695,0.6684593,0.9842343926429749,0.9854215383529663,0.3293689,0.20224059
102,0.73102474,0.49073857,0.9869077801704407,0.9876911640167236,0.36643314,0.06262332
103,0.7566946,0.60921824,0.9851370453834534,0.9864225387573242,0.3374505,0.18346584
104,0.76502466,0.57281435,0.9886964559555054,0.9887076020240784,0.30066037,0.091655016
105,0.7678219,0.58737034,0.9862902760505676,0.9886388182640076,0.36890328,0.08547413
106,0.7153792,0.61020815,0.9846503734588623,0.9862948060035706,0.29415953,0.20700371
107,0.79891145,0.48961496,0.9878764748573303,0.9895733594894409,0.32984722,0.07287681
108,0.70019674,0.5862502,0.9863345623016357,0.9876893162727356,0.18133521,0.07149488
109,0.78916883,0.6138512,0.9884121417999268,0.9889042377471924,0.24364287,0.23361564
110,0.7569368,0.68578744,0.9859932065010071,0.988312840461731,0.109507024,0.09007794
111,0.7354768,0.61931765,0.9860589504241943,0.9857184290885925,0.29376227,0.17330968
112,0.77251023,0.700948,0.9788178205490112,0.982816219329834,0.23142499,0.19216132
113,0.74753296,0.5802691,0.9794877171516418,0.9732571840286255,0.36039913,0.17275977
114,0.735777,0.62870014,0.9890999794006348,0.9886043071746826,0.22416365,0.1754638
115,0.80677724,0.60810125,0.985467255115509,0.9877476096153259,0.47177893,0.13549107
116,0.75512147,0.60071373,0.9855947494506836,0.9804479479789734,0.27185684,0.14681983
117,0.7029496,0.49404716,0.988913357257843,0.9872143268585205,0.21269554,0.110152304
118,0.7279453,0.53105336,0.984576940536499,0.9868649244308472,0.2636519,0.25645697
119,0.75217235,0.5724596,0.9858073592185974,0.9837298393249512,0.3213948,0.13567519
120,0.7283171,0.6306715,0.9836264252662659,0.9848467111587524,0.15796274,0.12965256
