,$X_1$,$X_2$,$X_1'_{ridge}$,$X_2'_{ridge}$,$X_1'_{OLS}$,$X_2'_{OLS}$
136,0.7812605,0.37108278,0.4773028,0.107066035,0.4551192,0.1020596
137,0.76328313,0.43768936,0.47371793,0.16182292,0.44041836,0.14645845
138,0.69884616,0.5112054,0.3216436,0.21697325,0.33952385,0.20944524
139,0.6935473,0.53156364,0.33695388,0.10543281,0.32410175,0.105936706
140,0.77809393,0.33737463,0.5660615,0.19503325,0.5154152,0.18370903
141,0.6933043,0.26111025,0.45218277,0.14061928,0.43940204,0.123594046
142,0.7431618,0.44172782,0.49900758,0.13407874,0.47786874,0.14030528
143,0.6948656,0.3756947,0.4318571,0.07160485,0.42762184,0.06404883
144,0.6747134,0.35619545,0.30933046,0.06646377,0.28690463,0.05067092
145,0.7487111,0.4258086,0.45852745,0.106547,0.42569673,0.105995834
146,0.6639935,0.5543098,0.25600123,0.24130136,0.29186267,0.22852963
147,0.73967016,0.40845096,0.45112777,0.0139305,0.4132352,0.016220212
148,0.7078649,0.3975858,0.40185362,0.13406783,0.3759659,0.12216413
149,0.6884725,0.37440264,0.41493082,0.14483893,0.40382767,0.17923772
150,0.7590779,0.34510154,0.51743627,0.07967883,0.50073725,0.102170706
151,0.663213,0.346766,0.45137155,0.15497142,0.4488539,0.15143442
152,0.7868774,0.48339802,0.5262763,0.060043633,0.48863333,0.05182773
153,0.62450695,0.3874663,0.32810098,0.17909712,0.31426722,0.14233005
154,0.6630533,0.20987874,0.3836429,0.047007263,0.35937595,0.024761975
155,0.6250931,0.47525722,0.35880226,0.07593739,0.32538158,0.073269546
156,0.7522512,0.33072245,0.34127307,0.014675379,0.3595428,0.017907262
157,0.78055,0.22130883,0.560197,0.014730334,0.5610743,0.029680192
158,0.8186346,0.5203303,0.50009,0.18654752,0.46815646,0.1836006
159,0.7294816,0.36795068,0.45041716,0.066585064,0.4355073,0.047305703
160,0.7616646,0.52970153,0.41455775,0.24505925,0.43622673,0.23314649
161,0.71498805,0.5693029,0.38038582,0.1949966,0.37543964,0.18817884
162,0.7276615,0.47662377,0.33822912,0.09705895,0.3513881,0.11584395
163,0.77537405,0.4468342,0.44570142,0.14211506,0.4504158,0.13187939
164,0.7364838,0.48397034,0.4193477,0.10851574,0.36342645,0.09940344
165,0.7513083,0.48792416,0.46034425,0.13939911,0.45017713,0.14006817
166,0.75820714,0.36714655,0.49887145,0.12856954,0.4826411,0.14036614
167,0.7691794,0.38608575,0.45432758,0.2501195,0.41158307,0.24257499
168,0.65651417,0.30624115,0.33087587,0.06264788,0.32408172,0.048677742
169,0.7124418,0.46399742,0.4257552,0.09763616,0.42013794,0.11177307
170,0.7251991,0.45895314,0.4464411,0.15050703,0.42967367,0.15115821
171,0.7280035,0.4038673,0.4101165,0.11996615,0.40603966,0.10210544
172,0.6778225,0.34941304,0.26345724,0.11699575,0.25556928,0.08753139
173,0.7157885,0.569025,0.4407555,0.23310274,0.42046744,0.22500342
174,0.7181344,0.47663355,0.3659461,0.17405397,0.3485477,0.1749602
175,0.7038979,0.5982416,0.32021898,0.22693497,0.29668528,0.23329008
176,0.7063625,0.37858504,0.5076913,0.045814693,0.4315045,0.018690407
177,0.80810654,0.476718,0.56749296,0.14537174,0.5610589,0.14527279
178,0.7678298,0.35791868,0.47509623,0.076511204,0.4544614,0.04171902
179,0.73095703,0.4799825,0.369758,0.19644898,0.3542542,0.18553811
180,0.7421294,0.5088293,0.4862656,0.13534355,0.5018666,0.11984044
181,0.7367447,0.524948,0.3683933,0.17607564,0.32644993,0.15840209
182,0.75021,0.40114045,0.47462618,0.04545778,0.46179527,0.03896129
183,0.73200333,0.5019994,0.41301453,0.27359992,0.3922264,0.27613086
184,0.74345064,0.3208863,0.37319458,0.13918495,0.36823004,0.18697274
185,0.7373489,0.3393355,0.32745314,0.13069451,0.31988472,0.13946444
186,0.76111454,0.26163673,0.54443824,0.114596784,0.5169347,0.12182188
187,0.69165015,0.4155615,0.3357873,0.1380297,0.2659772,0.14591593
188,0.7535,0.39674324,0.41890275,0.12734264,0.42595923,0.1135993
189,0.78497565,0.48909485,0.52344227,0.256243,0.4782499,0.29297394
190,0.7575527,0.51300883,0.5113994,0.10482001,0.46286607,0.10637987
