,$(X_1\cup X_2)\beta \approx Y$,$X_1\beta \approx Y$,$X_2\beta \approx Y$,$R^2(X_1\beta \approx Y)\cap R^2(X_2\beta \approx Y)$,$R^2(X_1\beta \approx Y) \setminus R^2(X_2\beta \approx Y)$,$R^2(X_2\beta \approx Y) \setminus R^2(X_1\beta \approx Y)$
8128,0.8681327,0.7531265,0.34608442,0.23107827,0.52204823,0.11500615
8129,0.89088285,0.6822591,0.41786796,0.20924413,0.47301495,0.20862383
8130,0.89997536,0.8035662,0.42050755,0.3240984,0.4794678,0.09640914
8131,0.8960984,0.72384727,0.33683044,0.16457939,0.5592679,0.17225105
8132,0.8773737,0.75647855,0.31786686,0.19697165,0.5595069,0.12089521
8133,0.88661516,0.78642476,0.35058135,0.2503909,0.53603387,0.10019046
8134,0.9279226,0.7922052,0.33773732,0.20201993,0.5901853,0.13571739
8135,0.9049375,0.7802159,0.3227926,0.198071,0.5821449,0.12472159
8136,0.90304375,0.7652771,0.5003438,0.3625772,0.4026999,0.1377666
8137,0.899524,0.7073966,0.44971436,0.25758696,0.44980967,0.1921274
8138,0.90737015,0.7805511,0.39802366,0.27120465,0.5093464,0.12681901
8139,0.9085321,0.79009104,0.4574741,0.33903307,0.45105797,0.118441045
8140,0.87173164,0.71231925,0.42118037,0.26176798,0.45055127,0.15941238
8141,0.91073984,0.758748,0.3510812,0.19908935,0.55965865,0.15199184
8142,0.91090596,0.74047655,0.3543874,0.18395793,0.5565186,0.17042947
8143,0.864094,0.6772493,0.33122802,0.14438331,0.532866,0.1868447
8144,0.8963897,0.7262174,0.31454295,0.14437056,0.58184683,0.1701724
8145,0.8655331,0.67417574,0.2887432,0.097385824,0.5767899,0.19135737
8146,0.8977138,0.77604735,0.4486611,0.32699466,0.4490527,0.12166643
8147,0.8944,0.8121279,0.38251203,0.30023992,0.51188797,0.08227211
8148,0.9084233,0.79693794,0.42170745,0.31022203,0.4867159,0.11148542
8149,0.8842717,0.6853674,0.34544408,0.14653987,0.53882754,0.19890422
8150,0.86562073,0.61044085,0.3252014,0.07002151,0.54041934,0.25517988
8151,0.8762243,0.6526019,0.33157587,0.10795349,0.5446484,0.22362238
